vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,127,0,3,0
0,1,0,127,4,7,0
0,2,0,127,0,3,1
0,3,0,127,4,7,1
0,4,0,127,0,3,2
0,5,0,127,4,7,2
0,6,0,127,0,3,3
0,7,0,127,4,7,3
1,0,0,127,8,11,0
1,1,0,127,12,15,0
1,2,0,127,8,11,1
1,3,0,127,12,15,1
1,4,0,127,8,11,2
1,5,0,127,12,15,2
1,6,0,127,8,11,3
1,7,0,127,12,15,3
2,0,0,127,16,19,0
2,1,0,127,20,23,0
2,2,0,127,16,19,1
2,3,0,127,20,23,1
2,4,0,127,16,19,2
2,5,0,127,20,23,2
2,6,0,127,16,19,3
2,7,0,127,20,23,3
3,0,0,127,24,27,0
3,1,0,127,28,31,0
3,2,0,127,24,27,1
3,3,0,127,28,31,1
3,4,0,127,24,27,2
3,5,0,127,28,31,2
3,6,0,127,24,27,3
3,7,0,127,28,31,3
4,0,0,127,32,35,0
4,1,0,127,36,39,0
4,2,0,127,32,35,1
4,3,0,127,36,39,1
4,4,0,127,32,35,2
4,5,0,127,36,39,2
4,6,0,127,32,35,3
4,7,0,127,36,39,3
5,0,0,127,40,43,0
5,1,0,127,44,47,0
5,2,0,127,40,43,1
5,3,0,127,44,47,1
5,4,0,127,40,43,2
5,5,0,127,44,47,2
5,6,0,127,40,43,3
5,7,0,127,44,47,3
6,0,0,127,48,51,0
6,1,0,127,52,55,0
6,2,0,127,48,51,1
6,3,0,127,52,55,1
6,4,0,127,48,51,2
6,5,0,127,52,55,2
6,6,0,127,48,51,3
6,7,0,127,52,55,3
7,0,0,127,56,59,0
7,1,0,127,60,63,0
7,2,0,127,56,59,1
7,3,0,127,60,63,1
7,4,0,127,56,59,2
7,5,0,127,60,63,2
7,6,0,127,56,59,3
7,7,0,127,60,63,3
8,0,0,127,64,67,0
8,1,0,127,68,71,0
8,2,0,127,64,67,1
8,3,0,127,68,71,1
8,4,0,127,64,67,2
8,5,0,127,68,71,2
8,6,0,127,64,67,3
8,7,0,127,68,71,3
9,0,0,127,72,75,0
9,1,0,127,76,79,0
9,2,0,127,72,75,1
9,3,0,127,76,79,1
9,4,0,127,72,75,2
9,5,0,127,76,79,2
9,6,0,127,72,75,3
9,7,0,127,76,79,3
10,0,0,127,80,83,0
10,1,0,127,84,87,0
10,2,0,127,80,83,1
10,3,0,127,84,87,1
10,4,0,127,80,83,2
10,5,0,127,84,87,2
10,6,0,127,80,83,3
10,7,0,127,84,87,3
11,0,0,127,88,91,0
11,1,0,127,92,95,0
11,2,0,127,88,91,1
11,3,0,127,92,95,1
11,4,0,127,88,91,2
11,5,0,127,92,95,2
11,6,0,127,88,91,3
11,7,0,127,92,95,3
12,0,0,127,96,99,0
12,1,0,127,100,103,0
12,2,0,127,96,99,1
12,3,0,127,100,103,1
12,4,0,127,96,99,2
12,5,0,127,100,103,2
12,6,0,127,96,99,3
12,7,0,127,100,103,3
13,0,0,127,104,107,0
13,1,0,127,108,111,0
13,2,0,127,104,107,1
13,3,0,127,108,111,1
13,4,0,127,104,107,2
13,5,0,127,108,111,2
13,6,0,127,104,107,3
13,7,0,127,108,111,3
14,0,0,127,112,115,0
14,1,0,127,116,119,0
14,2,0,127,112,115,1
14,3,0,127,116,119,1
14,4,0,127,112,115,2
14,5,0,127,116,119,2
14,6,0,127,112,115,3
14,7,0,127,116,119,3
15,0,0,127,120,123,0
15,1,0,127,124,127,0
15,2,0,127,120,123,1
15,3,0,127,124,127,1
15,4,0,127,120,123,2
15,5,0,127,124,127,2
15,6,0,127,120,123,3
15,7,0,127,124,127,3
